"cyr","country_text_id","year","seq"
"tza19015","TZA",1901.5,19015
"uga19015","UGA",1901.5,19015
"ukr19015","UKR",1901.5,19015
"ury19015","URY",1901.5,19015
"usa19015","USA",1901.5,19015
"uzb19015","UZB",1901.5,19015
"vdr19015","VDR",1901.5,19015
"ven19015","VEN",1901.5,19015
"vnm19015","VNM",1901.5,19015
"vut19015","VUT",1901.5,19015
"xkx19015","XKX",1901.5,19015
"yem19015","YEM",1901.5,19015
"ymd19015","YMD",1901.5,19015
"zaf19015","ZAF",1901.5,19015
"zmb19015","ZMB",1901.5,19015
"zwe19015","ZWE",1901.5,19015
"zzb19015","ZZB",1901.5,19015
"afg19035","AFG",1903.5,19035
"ago19035","AGO",1903.5,19035
"alb19035","ALB",1903.5,19035
"are19035","ARE",1903.5,19035
"arg19035","ARG",1903.5,19035
"arm19035","ARM",1903.5,19035
"aus19035","AUS",1903.5,19035
"aut19035","AUT",1903.5,19035
"aze19035","AZE",1903.5,19035
"bdi19035","BDI",1903.5,19035
"bel19035","BEL",1903.5,19035
"ben19035","BEN",1903.5,19035
"bfa19035","BFA",1903.5,19035
"bgd19035","BGD",1903.5,19035
"bgr19035","BGR",1903.5,19035
"bhr19035","BHR",1903.5,19035
"bih19035","BIH",1903.5,19035
"blr19035","BLR",1903.5,19035
"bol19035","BOL",1903.5,19035
"bra19035","BRA",1903.5,19035
"brb19035","BRB",1903.5,19035
"btn19035","BTN",1903.5,19035
"bwa19035","BWA",1903.5,19035
"caf19035","CAF",1903.5,19035
"can19035","CAN",1903.5,19035
"che19035","CHE",1903.5,19035
"chl19035","CHL",1903.5,19035
"chn19035","CHN",1903.5,19035
"civ19035","CIV",1903.5,19035
"cmr19035","CMR",1903.5,19035
"cod19035","COD",1903.5,19035
"cog19035","COG",1903.5,19035
"col19035","COL",1903.5,19035
"com19035","COM",1903.5,19035
"cpv19035","CPV",1903.5,19035
"cri19035","CRI",1903.5,19035
"cub19035","CUB",1903.5,19035
"cyp19035","CYP",1903.5,19035
"cze19035","CZE",1903.5,19035
"ddr19035","DDR",1903.5,19035
"deu19035","DEU",1903.5,19035
"dji19035","DJI",1903.5,19035
"dnk19035","DNK",1903.5,19035
"dom19035","DOM",1903.5,19035
"dza19035","DZA",1903.5,19035
"ecu19035","ECU",1903.5,19035
"egy19035","EGY",1903.5,19035
"eri19035","ERI",1903.5,19035
"esp19035","ESP",1903.5,19035
"est19035","EST",1903.5,19035
"eth19035","ETH",1903.5,19035
"fin19035","FIN",1903.5,19035
"fji19035","FJI",1903.5,19035
"fra19035","FRA",1903.5,19035
"gab19035","GAB",1903.5,19035
"gbr19035","GBR",1903.5,19035
"geo19035","GEO",1903.5,19035
"gha19035","GHA",1903.5,19035
"gin19035","GIN",1903.5,19035
"gmb19035","GMB",1903.5,19035
"gnb19035","GNB",1903.5,19035
"gnq19035","GNQ",1903.5,19035
"grc19035","GRC",1903.5,19035
"gtm19035","GTM",1903.5,19035
"guy19035","GUY",1903.5,19035
"hkg19035","HKG",1903.5,19035
"hnd19035","HND",1903.5,19035
"hrv19035","HRV",1903.5,19035
"hti19035","HTI",1903.5,19035
"hun19035","HUN",1903.5,19035
"idn19035","IDN",1903.5,19035
"ind19035","IND",1903.5,19035
"irl19035","IRL",1903.5,19035
"irn19035","IRN",1903.5,19035
"irq19035","IRQ",1903.5,19035
"isl19035","ISL",1903.5,19035
"isr19035","ISR",1903.5,19035
"ita19035","ITA",1903.5,19035
"jam19035","JAM",1903.5,19035
"jor19035","JOR",1903.5,19035
"jpn19035","JPN",1903.5,19035
"kaz19035","KAZ",1903.5,19035
"ken19035","KEN",1903.5,19035
"khm19035","KHM",1903.5,19035
"kor19035","KOR",1903.5,19035
"kwt19035","KWT",1903.5,19035
"lao19035","LAO",1903.5,19035
"lbn19035","LBN",1903.5,19035
"lbr19035","LBR",1903.5,19035
"lby19035","LBY",1903.5,19035
"lka19035","LKA",1903.5,19035
"lso19035","LSO",1903.5,19035
"ltu19035","LTU",1903.5,19035
"lux19035","LUX",1903.5,19035
"lva19035","LVA",1903.5,19035
"mar19035","MAR",1903.5,19035
"mda19035","MDA",1903.5,19035
"mdg19035","MDG",1903.5,19035
"mdv19035","MDV",1903.5,19035
"mex19035","MEX",1903.5,19035
"mkd19035","MKD",1903.5,19035
"mli19035","MLI",1903.5,19035
"mmr19035","MMR",1903.5,19035
"mne19035","MNE",1903.5,19035
"mng19035","MNG",1903.5,19035
"moz19035","MOZ",1903.5,19035
"mrt19035","MRT",1903.5,19035
"mus19035","MUS",1903.5,19035
"mwi19035","MWI",1903.5,19035
"mys19035","MYS",1903.5,19035
"nam19035","NAM",1903.5,19035
"ner19035","NER",1903.5,19035
"nga19035","NGA",1903.5,19035
"nic19035","NIC",1903.5,19035
"nld19035","NLD",1903.5,19035
"nor19035","NOR",1903.5,19035
"npl19035","NPL",1903.5,19035
"nzl19035","NZL",1903.5,19035
"omn19035","OMN",1903.5,19035
"pak19035","PAK",1903.5,19035
"pan19035","PAN",1903.5,19035
"per19035","PER",1903.5,19035
"phl19035","PHL",1903.5,19035
"png19035","PNG",1903.5,19035
"pol19035","POL",1903.5,19035
"prk19035","PRK",1903.5,19035
"prt19035","PRT",1903.5,19035
"pry19035","PRY",1903.5,19035
"psb19035","PSB",1903.5,19035
"pse19035","PSE",1903.5,19035
"psg19035","PSG",1903.5,19035
"qat19035","QAT",1903.5,19035
"rou19035","ROU",1903.5,19035
"rus19035","RUS",1903.5,19035
"rwa19035","RWA",1903.5,19035
"sau19035","SAU",1903.5,19035
"sdn19035","SDN",1903.5,19035
"sen19035","SEN",1903.5,19035
"sgp19035","SGP",1903.5,19035
"slb19035","SLB",1903.5,19035
"sle19035","SLE",1903.5,19035
"slv19035","SLV",1903.5,19035
"sml19035","SML",1903.5,19035
"som19035","SOM",1903.5,19035
"srb19035","SRB",1903.5,19035
"ssd19035","SSD",1903.5,19035
"stp19035","STP",1903.5,19035
"sur19035","SUR",1903.5,19035
"svk19035","SVK",1903.5,19035
"svn19035","SVN",1903.5,19035
"swe19035","SWE",1903.5,19035
"swz19035","SWZ",1903.5,19035
"syc19035","SYC",1903.5,19035
"syr19035","SYR",1903.5,19035
"tcd19035","TCD",1903.5,19035
"tgo19035","TGO",1903.5,19035
"tha19035","THA",1903.5,19035
"tjk19035","TJK",1903.5,19035
"tkm19035","TKM",1903.5,19035
"tls19035","TLS",1903.5,19035
"tto19035","TTO",1903.5,19035
"tun19035","TUN",1903.5,19035
"tur19035","TUR",1903.5,19035
"twn19035","TWN",1903.5,19035
"tza19035","TZA",1903.5,19035
"uga19035","UGA",1903.5,19035
"ukr19035","UKR",1903.5,19035
"ury19035","URY",1903.5,19035
"usa19035","USA",1903.5,19035
"uzb19035","UZB",1903.5,19035
"vdr19035","VDR",1903.5,19035
"ven19035","VEN",1903.5,19035
"vnm19035","VNM",1903.5,19035
"vut19035","VUT",1903.5,19035
"xkx19035","XKX",1903.5,19035
"yem19035","YEM",1903.5,19035
"ymd19035","YMD",1903.5,19035
"zaf19035","ZAF",1903.5,19035
"zmb19035","ZMB",1903.5,19035
"zwe19035","ZWE",1903.5,19035
"zzb19035","ZZB",1903.5,19035
"afg19055","AFG",1905.5,19055
"ago19055","AGO",1905.5,19055
"alb19055","ALB",1905.5,19055
"are19055","ARE",1905.5,19055
"arg19055","ARG",1905.5,19055
"arm19055","ARM",1905.5,19055
"aus19055","AUS",1905.5,19055
"aut19055","AUT",1905.5,19055
"aze19055","AZE",1905.5,19055
"bdi19055","BDI",1905.5,19055
"bel19055","BEL",1905.5,19055
"ben19055","BEN",1905.5,19055
"bfa19055","BFA",1905.5,19055
"bgd19055","BGD",1905.5,19055
"bgr19055","BGR",1905.5,19055
"bhr19055","BHR",1905.5,19055
"bih19055","BIH",1905.5,19055
"blr19055","BLR",1905.5,19055
"bol19055","BOL",1905.5,19055
"bra19055","BRA",1905.5,19055
"brb19055","BRB",1905.5,19055
"btn19055","BTN",1905.5,19055
"bwa19055","BWA",1905.5,19055
"caf19055","CAF",1905.5,19055
"can19055","CAN",1905.5,19055
"che19055","CHE",1905.5,19055
"chl19055","CHL",1905.5,19055
"chn19055","CHN",1905.5,19055
"civ19055","CIV",1905.5,19055
"cmr19055","CMR",1905.5,19055
"cod19055","COD",1905.5,19055
"cog19055","COG",1905.5,19055
"col19055","COL",1905.5,19055
"com19055","COM",1905.5,19055
"cpv19055","CPV",1905.5,19055
"cri19055","CRI",1905.5,19055
"cub19055","CUB",1905.5,19055
"cyp19055","CYP",1905.5,19055
"cze19055","CZE",1905.5,19055
"ddr19055","DDR",1905.5,19055
"deu19055","DEU",1905.5,19055
"dji19055","DJI",1905.5,19055
"dnk19055","DNK",1905.5,19055
"dom19055","DOM",1905.5,19055
"dza19055","DZA",1905.5,19055
"ecu19055","ECU",1905.5,19055
"egy19055","EGY",1905.5,19055
"eri19055","ERI",1905.5,19055
"esp19055","ESP",1905.5,19055
"est19055","EST",1905.5,19055
"eth19055","ETH",1905.5,19055
"fin19055","FIN",1905.5,19055
"fji19055","FJI",1905.5,19055
"fra19055","FRA",1905.5,19055
"gab19055","GAB",1905.5,19055
"gbr19055","GBR",1905.5,19055
"geo19055","GEO",1905.5,19055
"gha19055","GHA",1905.5,19055
"gin19055","GIN",1905.5,19055
"gmb19055","GMB",1905.5,19055
"gnb19055","GNB",1905.5,19055
"gnq19055","GNQ",1905.5,19055
"grc19055","GRC",1905.5,19055
"gtm19055","GTM",1905.5,19055
"guy19055","GUY",1905.5,19055
"hkg19055","HKG",1905.5,19055
"hnd19055","HND",1905.5,19055
"hrv19055","HRV",1905.5,19055
"hti19055","HTI",1905.5,19055
"hun19055","HUN",1905.5,19055
"idn19055","IDN",1905.5,19055
"ind19055","IND",1905.5,19055
"irl19055","IRL",1905.5,19055
"irn19055","IRN",1905.5,19055
"irq19055","IRQ",1905.5,19055
"isl19055","ISL",1905.5,19055
"isr19055","ISR",1905.5,19055
"ita19055","ITA",1905.5,19055
"jam19055","JAM",1905.5,19055
"jor19055","JOR",1905.5,19055
"jpn19055","JPN",1905.5,19055
"kaz19055","KAZ",1905.5,19055
"ken19055","KEN",1905.5,19055
"khm19055","KHM",1905.5,19055
"kor19055","KOR",1905.5,19055
"kwt19055","KWT",1905.5,19055
"lao19055","LAO",1905.5,19055
"lbn19055","LBN",1905.5,19055
"lbr19055","LBR",1905.5,19055
"lby19055","LBY",1905.5,19055
"lka19055","LKA",1905.5,19055
"lso19055","LSO",1905.5,19055
"ltu19055","LTU",1905.5,19055
"lux19055","LUX",1905.5,19055
"lva19055","LVA",1905.5,19055
"mar19055","MAR",1905.5,19055
"mda19055","MDA",1905.5,19055
"mdg19055","MDG",1905.5,19055
"mdv19055","MDV",1905.5,19055
"mex19055","MEX",1905.5,19055
"mkd19055","MKD",1905.5,19055
"mli19055","MLI",1905.5,19055
"mmr19055","MMR",1905.5,19055
"mne19055","MNE",1905.5,19055
"mng19055","MNG",1905.5,19055
"moz19055","MOZ",1905.5,19055
"mrt19055","MRT",1905.5,19055
"mus19055","MUS",1905.5,19055
"mwi19055","MWI",1905.5,19055
"mys19055","MYS",1905.5,19055
"nam19055","NAM",1905.5,19055
"ner19055","NER",1905.5,19055
"nga19055","NGA",1905.5,19055
"nic19055","NIC",1905.5,19055
"nld19055","NLD",1905.5,19055
"nor19055","NOR",1905.5,19055
"npl19055","NPL",1905.5,19055
"nzl19055","NZL",1905.5,19055
"omn19055","OMN",1905.5,19055
"pak19055","PAK",1905.5,19055
"pan19055","PAN",1905.5,19055
"per19055","PER",1905.5,19055
"phl19055","PHL",1905.5,19055
"png19055","PNG",1905.5,19055
"pol19055","POL",1905.5,19055
"prk19055","PRK",1905.5,19055
"prt19055","PRT",1905.5,19055
"pry19055","PRY",1905.5,19055
"psb19055","PSB",1905.5,19055
"pse19055","PSE",1905.5,19055
"psg19055","PSG",1905.5,19055
"qat19055","QAT",1905.5,19055
"rou19055","ROU",1905.5,19055
"rus19055","RUS",1905.5,19055
"rwa19055","RWA",1905.5,19055
"sau19055","SAU",1905.5,19055
"sdn19055","SDN",1905.5,19055
"sen19055","SEN",1905.5,19055
"sgp19055","SGP",1905.5,19055
"slb19055","SLB",1905.5,19055
"sle19055","SLE",1905.5,19055
"slv19055","SLV",1905.5,19055
"sml19055","SML",1905.5,19055
"som19055","SOM",1905.5,19055
"srb19055","SRB",1905.5,19055
"ssd19055","SSD",1905.5,19055
"stp19055","STP",1905.5,19055
"sur19055","SUR",1905.5,19055
"svk19055","SVK",1905.5,19055
"svn19055","SVN",1905.5,19055
"swe19055","SWE",1905.5,19055
"swz19055","SWZ",1905.5,19055
"syc19055","SYC",1905.5,19055
"syr19055","SYR",1905.5,19055
"tcd19055","TCD",1905.5,19055
"tgo19055","TGO",1905.5,19055
"tha19055","THA",1905.5,19055
"tjk19055","TJK",1905.5,19055
"tkm19055","TKM",1905.5,19055
"tls19055","TLS",1905.5,19055
"tto19055","TTO",1905.5,19055
"tun19055","TUN",1905.5,19055
"tur19055","TUR",1905.5,19055
"twn19055","TWN",1905.5,19055
"tza19055","TZA",1905.5,19055
"uga19055","UGA",1905.5,19055
